t,value
1598408286,0
1598408287,0
1598408288,0
1598408289,0
1598408290,0
1598408291,0
1598408292,0
1598408293,0
1598408294,0
1598408295,0
1598408296,0
1598408297,0
1598408298,0
1598408299,0
1598408300,0
1598408301,0
1598408302,0
1598408303,0
1598408304,0
1598408305,27891
1598408306,27891
1598408307,27891
1598408308,27891
1598408309,27891
1598408310,27891
1598408311,27891
1598408312,27891
1598408313,27891
1598408314,27891
1598408315,457276
1598408316,457276
1598408317,457276
1598408318,457276
1598408319,457276
1598408320,457276
1598408321,457276
1598408322,457276
1598408323,457276
1598408324,457276
1598408325,457276
1598408326,457276
1598408327,457276
1598408328,457276
1598408329,457276
1598408330,457276
1598408331,457276
1598408332,457276
1598408333,457276
1598408334,457276
1598408335,457276
1598408336,457276
1598408337,457276
1598408338,457276
1598408339,457276
1598408340,457276
1598408341,457276
1598408342,457276
1598408343,457276
1598408344,457276
1598408345,457276
1598408346,457276
1598408347,457276
1598408348,457276
1598408349,457276
1598408350,457276
1598408351,457276
1598408352,457276
1598408353,457276
1598408354,457276
1598408355,1008688
1598408356,1008688
1598408357,1008688
1598408358,1008688
1598408359,1008688
1598408360,1008688
1598408361,1008688
1598408362,1008688
1598408363,1008688
1598408364,1008688
1598408365,1008688
1598408366,1008688
1598408367,1008688
1598408368,1008688
1598408369,1008688
1598408370,1008688
1598408371,1008688
1598408372,1008688
1598408373,1008688
1598408374,1008688
1598408375,1008688
1598408376,1008688
1598408377,1008688
1598408378,1008688
1598408379,1008688
1598408380,1008688
1598408381,1008688
1598408382,1008688
1598408383,1008688
1598408384,1008688
1598408385,1008688
1598408386,1008688
1598408387,1008688
1598408388,1008688
1598408389,1008688
1598408390,1008688
1598408391,1008688
1598408392,1008688
1598408393,1008688
1598408394,1008688
1598408395,448806
1598408396,448806
1598408397,448806
1598408398,448806
1598408399,448806
1598408400,448806
1598408401,448806
1598408402,448806
1598408403,448806
1598408404,448806
1598408405,448806
1598408406,448806
1598408407,448806
1598408408,448806
1598408409,448806
1598408410,448806
1598408411,448806
1598408412,448806
1598408413,448806
1598408414,448806
1598408415,448806
1598408416,448806
1598408417,448806
1598408418,448806
1598408419,448806
1598408420,448806
1598408421,448806
1598408422,448806
1598408423,448806
1598408424,448806
1598408425,448806
1598408426,448806
1598408427,448806
1598408428,448806
1598408429,448806
1598408430,448806
1598408431,448806
1598408432,448806
1598408433,448806
1598408434,448806
1598408435,448806
1598408436,448806
1598408437,448806
1598408438,448806
1598408439,448806
1598408440,448806
1598408441,448806
1598408442,448806
1598408443,448806
1598408444,448806
1598408445,448806
1598408446,448806
1598408447,448806
1598408448,448806
1598408449,448806
1598408450,448806
1598408451,448806
1598408452,448806
1598408453,448806
1598408454,448806
1598408455,448806
1598408456,448806
1598408457,448806
1598408458,448806
1598408459,448806
1598408460,448806
1598408461,448806
1598408462,448806
1598408463,448806
1598408464,448806
1598408465,448806
1598408466,448806
1598408467,448806
1598408468,448806
1598408469,448806
1598408470,448806
1598408471,448806
1598408472,448806
1598408473,448806
1598408474,448806
1598408475,448806
1598408476,448806
1598408477,448806
1598408478,448806
1598408479,448806
1598408480,448806
1598408481,448806
1598408482,448806
1598408483,448806
1598408484,448806
1598408485,448806
1598408486,448806
1598408487,448806
1598408488,448806
1598408489,448806
1598408490,448806
1598408491,448806
1598408492,448806
1598408493,448806
1598408494,448806
1598408495,448806
1598408496,448806
1598408497,448806
1598408498,448806
1598408499,448806
1598408500,448806
1598408501,448806
1598408502,448806
1598408503,448806
1598408504,448806
1598408505,448806
1598408506,448806
1598408507,448806
1598408508,448806
1598408509,448806
1598408510,448806
1598408511,448806
1598408512,448806
1598408513,448806
1598408514,448806
1598408515,448806
1598408516,448806
1598408517,448806
1598408518,448806
1598408519,448806
1598408520,448806
1598408521,448806
1598408522,448806
1598408523,448806
1598408524,448806
1598408525,448806
1598408526,448806
1598408527,448806
1598408528,448806
1598408529,448806
1598408530,448806
1598408531,448806
1598408532,448806
1598408533,448806
1598408534,448806
1598408535,62296989
1598408536,62296989
1598408537,62296989
1598408538,62296989
1598408539,62296989
1598408540,62296989
1598408541,62296989
1598408542,62296989
1598408543,62296989
1598408544,62296989
1598408545,172859708
1598408546,172859708
1598408547,172859708
1598408548,172859708
1598408549,172859708
1598408551,172859708
1598408551,172859708
1598408552,172859708
1598408553,172859708
1598408554,172859708
1598408555,303942302
1598408556,303942302
1598408557,303942302
1598408558,303942302
1598408559,303942302
1598408560,303942302
1598408561,303942302
1598408562,303942302
1598408563,303942302
1598408564,303942302
1598408565,385653130
1598408566,385653130
1598408567,385653130
1598408568,385653130
1598408569,385653130
1598408570,385653130
1598408571,385653130
1598408572,385653130
1598408573,385653130
1598408574,385653130
1598408575,369896198
1598408576,369896198
1598408577,369896198
1598408578,369896198
1598408579,369896198
1598408580,369896198
1598408581,369896198
1598408582,369896198
1598408583,369896198
1598408584,369896198
1598408585,369896198
1598408586,369896198
1598408587,369896198
1598408588,369896198
1598408589,369896198
1598408590,369896198
1598408591,369896198
1598408592,369896198
1598408593,369896198
1598408594,369896198
1598408595,369896198
1598408596,369896198
1598408597,369896198
1598408598,369896198
1598408599,369896198
1598408600,369896198
1598408601,369896198
1598408602,369896198
1598408603,369896198
1598408604,369896198
1598408605,369896198
1598408606,369896198
1598408607,369896198
1598408608,369896198
1598408609,369896198
1598408610,369896198
1598408611,369896198
1598408612,369896198
1598408613,369896198
1598408614,369896198
1598408615,369896198
1598408616,369896198
1598408617,369896198
1598408618,369896198
1598408619,369896198
1598408620,369896198
1598408621,369896198
1598408622,369896198
1598408623,369896198
1598408624,369896198
1598408625,369896198
1598408626,369896198
1598408627,369896198
1598408628,369896198
1598408629,369896198
1598408630,369896198
1598408631,369896198
1598408632,369896198
