t,value
1598413137,0
1598413138,0
1598413139,0
1598413140,0
1598413141,0
1598413142,0
1598413143,0
1598413144,0
1598413145,0
1598413146,0
1598413147,0
1598413148,0
1598413149,0
1598413150,0
1598413151,0
1598413152,0
1598413153,0
1598413154,0
1598413155,0
1598413156,0
1598413157,0
1598413158,0
1598413159,462329
1598413160,462329
1598413161,462329
1598413162,462329
1598413163,462329
1598413164,462329
1598413165,462329
1598413166,462329
1598413167,462329
1598413168,462329
1598413169,916994
1598413170,916994
1598413171,916994
1598413172,916994
1598413173,916994
1598413174,916994
1598413175,916994
1598413176,916994
1598413177,916994
1598413178,916994
1598413179,975937
1598413180,975937
1598413181,975937
1598413182,975937
1598413183,975937
1598413184,975937
1598413185,975937
1598413186,975937
1598413187,975937
1598413188,975937
1598413189,420399823
1598413190,420399823
1598413191,420399823
1598413192,420399823
1598413193,420399823
1598413194,420399823
1598413195,420399823
1598413196,420399823
1598413197,420399823
1598413198,420399823
1598413199,626069818
1598413200,626069818
1598413201,626069818
1598413202,626069818
1598413203,626069818
1598413204,626069818
1598413205,626069818
1598413206,626069818
1598413207,626069818
1598413208,626069818
1598413209,906578
1598413210,906578
1598413211,906578
1598413212,906578
1598413213,906578
1598413214,906578
1598413215,906578
1598413216,906578
1598413217,906578
1598413218,906578
1598413219,990576
1598413220,990576
1598413221,990576
1598413222,990576
1598413223,990576
1598413224,990576
1598413225,990576
1598413226,990576
1598413227,990576
1598413228,990576
1598413229,896445
1598413230,896445
1598413231,896445
1598413232,896445
1598413233,896445
1598413234,896445
1598413235,896445
1598413236,896445
1598413237,896445
1598413238,896445
1598413239,1438276
1598413240,1438276
1598413241,1438276
1598413242,1438276
1598413243,1438276
1598413244,1438276
1598413245,1438276
1598413246,1438276
1598413247,1438276
1598413248,1438276
1598413249,316537791
1598413250,316537791
1598413251,316537791
1598413252,316537791
1598413253,316537791
1598413254,316537791
1598413255,316537791
1598413256,316537791
1598413257,316537791
1598413258,316537791
1598413259,683254594
1598413260,683254594
1598413261,683254594
1598413262,683254594
1598413263,683254594
1598413264,683254594
1598413265,683254594
1598413266,683254594
1598413267,683254594
1598413268,683254594
1598413269,1642574
1598413270,1642574
1598413271,1642574
1598413272,1642574
1598413273,1642574
1598413274,1642574
1598413275,1642574
1598413276,1642574
1598413277,1642574
1598413278,1642574
1598413279,1330204
1598413280,1330204
1598413281,1330204
1598413282,1330204
1598413283,1330204
1598413284,1330204
1598413285,1330204
1598413286,1330204
1598413287,1330204
1598413288,1330204
1598413289,1809167
1598413290,1809167
1598413291,1809167
1598413292,1809167
1598413293,1809167
1598413294,1809167
1598413295,1809167
1598413296,1809167
1598413297,1809167
1598413298,1809167
1598413299,1361238
1598413300,1361238
1598413301,1361238
1598413302,1361238
1598413303,1361238
1598413304,1361238
1598413305,1361238
1598413306,1361238
1598413307,1361238
1598413308,1361238
1598413309,704785206
1598413310,704785206
1598413311,704785206
1598413312,704785206
1598413313,704785206
1598413314,704785206
1598413315,704785206
1598413316,704785206
1598413317,704785206
