t,count
1598408781,0
1598408782,0
1598408783,0
1598408784,0
1598408785,0
1598408786,0
1598408787,0
1598408788,0
1598408789,0
1598408790,0
1598408791,0
1598408792,0
1598408793,0
1598408794,0
1598408795,0
1598408796,0
1598408797,0
1598408798,0
1598408799,0
1598408800,0
1598408801,0
1598408802,0
1598408803,0
1598408804,0
1598408805,0
1598408806,0
1598408807,0
1598408808,0
1598408809,0
1598408810,0
1598408811,0
1598408812,0
1598408813,0
1598408814,0
1598408815,0
1598408816,0
1598408817,0
1598408818,0
1598408819,0
1598408820,0
1598408821,0
1598408822,0
1598408823,0
1598408824,0
1598408825,0
1598408826,0
1598408827,0
1598408828,0
1598408829,0
1598408830,0
1598408831,0
1598408832,0
1598408833,0
1598408834,0
1598408835,0
1598408836,0
1598408837,0
1598408838,0
1598408839,0
1598408840,0
1598408841,0
1598408842,0
1598408843,0
1598408844,0
1598408845,0
1598408846,0
1598408847,0
1598408848,0
1598408849,0
1598408850,0
1598408851,0
1598408852,0
1598408853,0
1598408854,0
1598408855,0
1598408856,0
1598408857,0
1598408858,0
1598408859,0
1598408860,0
1598408861,0
1598408862,0
1598408863,0
1598408864,0
1598408865,0
1598408866,0
1598408867,0
1598408868,0
1598408869,0
1598408870,0
1598408871,0
1598408872,0
1598408873,0
1598408874,0
1598408875,0
1598408876,0
1598408877,0
1598408878,0
1598408879,0
1598408880,0
1598408881,0
1598408882,0
1598408883,0
1598408884,0
1598408885,0
1598408886,0
1598408887,0
1598408888,0
1598408889,0
1598408890,0
1598408891,0
1598408892,0
1598408893,0
1598408894,0
1598408895,0
1598408896,0
1598408897,0
1598408898,0
1598408899,0
1598408900,0
1598408901,0
1598408902,0
1598408903,0
1598408904,0
1598408905,0
1598408906,0
1598408907,0
1598408908,0
1598408909,0
1598408910,0
1598408911,0
1598408912,0
1598408913,0
1598408914,0
1598408915,0
1598408916,0
1598408917,0
1598408918,0
1598408919,0
1598408920,0
1598408921,0
1598408922,0
1598408923,0
1598408924,0
1598408925,0
1598408926,0
1598408927,0
1598408928,0
1598408929,0
1598408930,0
1598408931,0
1598408932,0
1598408933,0
1598408934,0
1598408935,0
1598408936,0
1598408937,0
1598408938,0
1598408939,0
1598408940,0
1598408941,0
1598408942,0
1598408943,0
1598408944,0
1598408945,0
1598408946,0
1598408947,0
1598408948,0
1598408949,0
1598408950,0
1598408951,0
1598408952,0
1598408953,0
1598408954,0
1598408955,0
1598408956,0
1598408957,0
1598408958,0
1598408959,0
1598408960,0
1598408961,0
1598408962,0
1598408963,0
1598408964,0
1598408965,0
1598408966,0
1598408967,0
1598408968,0
1598408969,0
1598408970,0
1598408971,0
1598408972,0
1598408973,0
1598408974,0
1598408975,0
1598408976,0
1598408977,0
1598408978,0
1598408979,0
1598408980,0
1598408981,0
1598408982,0
1598408983,0
1598408984,0
1598408985,0
1598408986,0
1598408987,0
1598408988,0
1598408989,0
1598408990,0
1598408991,0
1598408992,0
1598408993,0
1598408994,0
1598408995,0
1598408996,0
1598408997,0
1598408998,0
1598408999,0
1598409000,0
1598409001,0
1598409002,0
1598409003,0
1598409004,0
1598409005,0
1598409006,0
1598409007,0
1598409008,0
1598409009,0
1598409010,0
1598409011,0
1598409012,0
1598409013,0
1598409014,0
1598409015,0
1598409016,0
1598409017,0
1598409018,0
1598409019,0
1598409020,0
1598409021,0
1598409022,0
1598409023,0
1598409024,0
1598409025,0
1598409026,0
1598409027,0
1598409028,0
1598409029,0
1598409030,0
1598409031,0
1598409032,0
1598409033,0
1598409034,777445
1598409035,1511664
1598409036,1511664
1598409037,1511664
1598409038,2459968
1598409039,3417302
1598409040,3417302
1598409041,3417302
1598409042,3417302
1598409043,3417302
1598409044,5193496
1598409045,5193496
1598409046,5193496
1598409047,6200339
1598409048,7416316
1598409049,8288547
1598409050,8288547
1598409051,9363965
1598409052,10232342
1598409053,10232342
1598409054,10232342
1598409055,12139377
1598409056,12139377
1598409057,12139377
1598409058,14033463
1598409059,14033463
1598409060,14033463
1598409061,15014779
1598409062,15014779
1598409063,17100184
1598409064,17100184
1598409065,17100184
1598409066,18328459
1598409067,19421336
1598409068,19421336
1598409069,19421336
1598409070,19421336
1598409071,19421336
1598409072,19421336
1598409073,20389459
1598409074,21383694
1598409075,21383694
1598409076,21383694
1598409077,22772535
1598409078,23998453
1598409079,25439606
1598409080,25439606
1598409081,25439606
1598409082,26590118
1598409083,27803771
1598409084,27803771
1598409085,29394890
1598409086,30701485
1598409087,30701485
1598409088,30701485
1598409089,33384149
1598409090,33384149
1598409091,33384149
1598409092,34906493
1598409093,34906493
1598409094,36358245
1598409095,36358245
1598409096,37745433
1598409097,37745433
1598409098,39479997
1598409099,40951978
1598409100,40951978
1598409101,42362670
1598409102,42362670
1598409103,43906512
1598409104,43906512
1598409105,45370028
1598409106,45370028
1598409107,45370028
1598409108,45370028
1598409109,45370028
1598409110,45370028
1598409111,45370028
1598409112,45370028
1598409113,45370028
1598409114,45370028
1598409115,45370028
1598409116,45370028
1598409117,45370028
1598409118,45370028
1598409119,45370028
1598409120,45370028
1598409121,45370028
1598409122,45370028
1598409123,45370028
1598409124,45370028
1598409125,45370028
1598409126,45370028
1598409127,45370028
1598409128,45370028
1598409129,45370028
1598409130,45370028
1598409131,45370028
1598409132,45370028
1598409133,45370028
1598409134,45370028
1598409135,45370028
1598409136,45370028
1598409137,45370028
1598409138,45370028
1598409139,45370028
1598409140,45370028
1598409141,45370028
1598409142,45370028
1598409143,45370028
1598409144,45370028
1598409145,45370028
1598409146,45370028
1598409147,45370028
1598409148,45370028
1598409149,45370028
1598409150,45370028
1598409151,45370028
1598409152,45370028
1598409153,45370028
1598409154,45370028
1598409155,45370028
1598409156,45370028
1598409157,45370028
1598409158,45370028
1598409159,45370028
1598409160,45370028
1598409161,45370028
1598409162,45370028
1598409163,45370028
1598409164,45370028
1598409165,45370028
1598409166,45370028
1598409167,45370028
1598409168,45370028
1598409169,45370028
1598409170,45370028
1598409171,45370028
1598409172,45370028
1598409173,45370028
1598409174,45370028
1598409175,45370028
1598409176,45370028
1598409177,45370028
1598409178,45370028
1598409179,45370028
1598409180,45370028
1598409181,45370028
1598409182,45370028
1598409183,45370028
1598409184,45370028
1598409185,45370028
1598409186,45370028
1598409187,45370028
1598409188,45370028
1598409189,45370028
1598409190,45370028
1598409191,45370028
1598409192,45370028
1598409193,45370028
1598409194,45370028
1598409195,45370028
1598409196,45370028
1598409197,45370028
1598409198,45370028
1598409199,45370028
1598409200,45370028
1598409201,45370028
1598409202,45370028
1598409203,45370028
1598409204,45370028
1598409205,45370028
1598409206,45370028
1598409207,45370028
1598409208,45370028
1598409209,45370028
1598409210,45370028
1598409211,45370028
1598409212,45370028
1598409213,45370028
1598409214,45370028
1598409215,45370028
1598409216,45370028
1598409217,45370028
1598409218,45370028
1598409219,45370028
1598409220,45370028
1598409221,45370028
1598409222,45370028
1598409223,45370028
1598409224,45370028
1598409225,45370028
1598409226,45370028
1598409227,45370028
1598409228,45370028
1598409229,45370028
1598409230,45370028
1598409231,45370028
1598409232,45370028
1598409233,45370028
1598409234,45370028
1598409235,45370028
1598409236,45370028
1598409237,45370028
1598409238,45370028
1598409239,46336963
1598409240,46336963
1598409241,47049743
1598409242,47049743
1598409243,47049743
1598409244,47566398
1598409245,47566398
1598409246,48291895
1598409247,48291895
1598409248,48916455
1598409249,48916455
1598409250,49835955
1598409251,49835955
1598409252,49835955
1598409253,50564646
1598409254,50564646
1598409255,51303371
1598409256,51303371
1598409257,52168193
1598409258,52836129
1598409259,52836129
1598409260,54177055
1598409261,54177055
1598409262,55461007
1598409263,55461007
1598409264,55461007
1598409265,55989626
1598409266,56566727
1598409267,56566727
1598409268,57235348
1598409269,57235348
1598409270,58097810
1598409271,58097810
1598409272,58778803
1598409273,59686467
1598409274,59686467
1598409275,60897128
1598409276,61935721
1598409277,63072874
1598409278,63072874
1598409278,63072874
